Participant number,Age,Gender,Phase,Phase score,Block,Word,Color,Response,Time
3,24,m,1,0.9625,1,yellow,green,yellow,1.397284985
3,24,m,1,0.9625,1,purple,yellow,purple,0.8967308998
3,24,m,1,0.9625,1,green,blue,green,1.262057066
3,24,m,1,0.9625,1,red,purple,red,0.6806681156
3,24,m,1,0.9625,1,purple,green,purple,1.193182945
3,24,m,1,0.9625,1,red,green,red,0.7408030033
3,24,m,1,0.9625,1,yellow,red,blue,0.8494441509
3,24,m,1,0.9625,1,red,yellow,red,1.180626869
3,24,m,1,0.9625,1,green,yellow,purple,1.355092049
3,24,m,1,0.9625,1,blue,yellow,blue,1.00217104
3,24,m,1,0.9625,1,green,red,green,1.774779081
3,24,m,1,0.9625,1,green,purple,green,1.19390893
3,24,m,1,0.9625,1,blue,green,blue,1.046962976
3,24,m,1,0.9625,1,purple,red,purple,1.812674999
3,24,m,1,0.9625,1,blue,red,blue,3.420584917
3,24,m,1,0.9625,1,purple,blue,purple,1.456729889
3,24,m,1,0.9625,1,yellow,purple,yellow,1.755114079
3,24,m,1,0.9625,1,red,blue,red,1.955386877
3,24,m,1,0.9625,1,yellow,blue,yellow,1.567325115
3,24,m,1,0.9625,1,blue,purple,blue,1.133385181
3,24,m,1,0.9625,2,purple,red,purple,0.749049902
3,24,m,1,0.9625,2,green,yellow,green,1.42651701
3,24,m,1,0.9625,2,yellow,blue,yellow,0.816835165
3,24,m,1,0.9625,2,green,purple,purple,0.8451189995
3,24,m,1,0.9625,2,green,blue,green,0.7898199558
3,24,m,1,0.9625,2,blue,purple,blue,0.82574296
3,24,m,1,0.9625,2,yellow,red,yellow,1.691735029
3,24,m,1,0.9625,2,red,purple,red,0.6522510052
3,24,m,1,0.9625,2,blue,yellow,blue,0.7402751446
3,24,m,1,0.9625,2,yellow,purple,yellow,1.121495962
3,24,m,1,0.9625,2,purple,green,purple,2.683500051
3,24,m,1,0.9625,2,purple,blue,purple,0.6531329155
3,24,m,1,0.9625,2,yellow,green,yellow,2.065535069
3,24,m,1,0.9625,2,red,blue,red,0.523952961
3,24,m,1,0.9625,2,blue,red,blue,1.096994877
3,24,m,1,0.9625,2,red,yellow,red,0.9479038715
3,24,m,1,0.9625,2,purple,yellow,purple,3.188509941
3,24,m,1,0.9625,2,red,green,red,0.7750551701
3,24,m,1,0.9625,2,green,red,green,1.565781832
3,24,m,1,0.9625,2,blue,green,blue,1.558317184
3,24,m,1,0.9625,3,purple,red,purple,2.596639872
3,24,m,1,0.9625,3,red,blue,red,0.6710929871
3,24,m,1,0.9625,3,red,purple,red,0.8651320934
3,24,m,1,0.9625,3,red,yellow,red,0.5650341511
3,24,m,1,0.9625,3,blue,green,blue,2.246174812
3,24,m,1,0.9625,3,yellow,blue,yellow,0.924754858
3,24,m,1,0.9625,3,blue,red,blue,1.007188082
3,24,m,1,0.9625,3,red,green,red,1.551632881
3,24,m,1,0.9625,3,green,red,green,0.8515388966
3,24,m,1,0.9625,3,purple,green,purple,0.5794939995
3,24,m,1,0.9625,3,yellow,purple,yellow,0.8468060493
3,24,m,1,0.9625,3,purple,yellow,purple,1.738506079
3,24,m,1,0.9625,3,green,yellow,green,3.539592981
3,24,m,1,0.9625,3,blue,yellow,blue,0.6190378666
3,24,m,1,0.9625,3,purple,blue,purple,0.6803731918
3,24,m,1,0.9625,3,green,blue,green,1.042599916
3,24,m,1,0.9625,3,green,purple,green,0.9461259842
3,24,m,1,0.9625,3,yellow,green,yellow,1.54946208
3,24,m,1,0.9625,3,blue,purple,blue,0.9161422253
3,24,m,1,0.9625,3,yellow,red,yellow,2.065006971
3,24,m,1,0.9625,4,green,purple,green,0.9817318916
3,24,m,1,0.9625,4,purple,yellow,purple,0.7561948299
3,24,m,1,0.9625,4,red,purple,red,0.9631769657
3,24,m,1,0.9625,4,blue,red,blue,0.5825309753
3,24,m,1,0.9625,4,yellow,red,yellow,0.7926390171
3,24,m,1,0.9625,4,red,blue,red,0.9024810791
3,24,m,1,0.9625,4,yellow,purple,yellow,1.298679113
3,24,m,1,0.9625,4,green,red,green,3.885778904
3,24,m,1,0.9625,4,yellow,blue,yellow,2.054404974
3,24,m,1,0.9625,4,red,yellow,red,0.9004340172
3,24,m,1,0.9625,4,blue,green,blue,1.942455053
3,24,m,1,0.9625,4,purple,blue,purple,2.019554138
3,24,m,1,0.9625,4,green,yellow,green,2.013007879
3,24,m,1,0.9625,4,blue,yellow,blue,2.119153976
3,24,m,1,0.9625,4,purple,red,purple,0.7754311562
3,24,m,1,0.9625,4,red,green,red,0.8644988537
3,24,m,1,0.9625,4,blue,purple,blue,0.9211401939
3,24,m,1,0.9625,4,purple,green,purple,1.744869947
3,24,m,1,0.9625,4,yellow,green,yellow,0.7788929939
3,24,m,1,0.9625,4,green,blue,green,0.7341480255
3,24,m,2,0.8125,1,blue,yellow,yellow,1.427913189
3,24,m,2,0.8125,1,yellow,green,green,0.8161408901
3,24,m,2,0.8125,1,green,red,red,0.7730460167
3,24,m,2,0.8125,1,green,blue,green,0.9165802002
3,24,m,2,0.8125,1,yellow,blue,green,0.5153951645
3,24,m,2,0.8125,1,red,blue,green,0.4676859379
3,24,m,2,0.8125,1,green,yellow,yellow,1.723396063
3,24,m,2,0.8125,1,purple,green,green,1.889180899
3,24,m,2,0.8125,1,blue,purple,green,3.083537817
3,24,m,2,0.8125,1,red,yellow,yellow,1.545650005
3,24,m,2,0.8125,1,blue,red,blue,2.138407946
3,24,m,2,0.8125,1,yellow,red,red,0.8239059448
3,24,m,2,0.8125,1,purple,yellow,yellow,0.8068711758
3,24,m,2,0.8125,1,purple,red,red,2.911226034
3,24,m,2,0.8125,1,yellow,purple,green,0.8519659042
3,24,m,2,0.8125,1,blue,green,green,1.494931936
3,24,m,2,0.8125,1,green,purple,purple,0.9360280037
3,24,m,2,0.8125,1,purple,blue,blue,1.135727882
3,24,m,2,0.8125,1,red,purple,purple,1.528826952
3,24,m,2,0.8125,1,red,green,green,3.841685057
3,24,m,2,0.8125,2,yellow,red,red,1.612652063
3,24,m,2,0.8125,2,yellow,green,green,2.018096924
3,24,m,2,0.8125,2,blue,green,green,1.370347977
3,24,m,2,0.8125,2,purple,green,green,0.8528199196
3,24,m,2,0.8125,2,purple,red,None,5.012072086
3,24,m,2,0.8125,2,purple,blue,purple,2.62283802
3,24,m,2,0.8125,2,yellow,blue,blue,1.032130957
3,24,m,2,0.8125,2,green,yellow,yellow,0.8288199902
3,24,m,2,0.8125,2,green,blue,blue,1.048913002
3,24,m,2,0.8125,2,blue,red,red,0.6854228973
3,24,m,2,0.8125,2,red,purple,purple,1.167742968
3,24,m,2,0.8125,2,red,yellow,yellow,1.070747852
3,24,m,2,0.8125,2,green,purple,purple,0.6917529106
3,24,m,2,0.8125,2,purple,yellow,yellow,0.7917010784
3,24,m,2,0.8125,2,red,green,green,0.6981351376
3,24,m,2,0.8125,2,green,red,red,0.685614109
3,24,m,2,0.8125,2,yellow,purple,purple,1.491621017
3,24,m,2,0.8125,2,blue,purple,purple,0.5039699078
3,24,m,2,0.8125,2,red,blue,blue,1.337008953
3,24,m,2,0.8125,2,blue,yellow,yellow,0.6555020809
3,24,m,2,0.8125,3,blue,yellow,blue,0.5882980824
3,24,m,2,0.8125,3,red,purple,purple,0.7028999329
3,24,m,2,0.8125,3,blue,green,green,1.449645996
3,24,m,2,0.8125,3,red,blue,blue,0.7395219803
3,24,m,2,0.8125,3,yellow,red,red,1.664963007
3,24,m,2,0.8125,3,green,blue,red,1.397572994
3,24,m,2,0.8125,3,yellow,green,green,0.7412741184
3,24,m,2,0.8125,3,green,red,red,2.267119884
3,24,m,2,0.8125,3,purple,green,green,2.995114088
3,24,m,2,0.8125,3,purple,red,red,0.6772909164
3,24,m,2,0.8125,3,purple,yellow,yellow,2.045809984
3,24,m,2,0.8125,3,blue,purple,purple,0.5455770493
3,24,m,2,0.8125,3,red,green,green,0.6752297878
3,24,m,2,0.8125,3,green,purple,blue,1.378765821
3,24,m,2,0.8125,3,red,yellow,yellow,2.832214832
3,24,m,2,0.8125,3,green,yellow,yellow,0.5339381695
3,24,m,2,0.8125,3,yellow,blue,blue,0.5470921993
3,24,m,2,0.8125,3,yellow,purple,purple,0.6330530643
3,24,m,2,0.8125,3,blue,red,red,0.6000750065
3,24,m,2,0.8125,3,purple,blue,blue,0.8895170689
3,24,m,2,0.8125,4,blue,red,red,1.089525938
3,24,m,2,0.8125,4,yellow,green,green,0.7899680138
3,24,m,2,0.8125,4,red,green,green,0.605038166
3,24,m,2,0.8125,4,green,yellow,blue,0.7802798748
3,24,m,2,0.8125,4,purple,green,green,0.7210569382
3,24,m,2,0.8125,4,red,blue,red,0.7780637741
3,24,m,2,0.8125,4,blue,purple,blue,1.84036994
3,24,m,2,0.8125,4,green,purple,purple,1.774662971
3,24,m,2,0.8125,4,blue,yellow,blue,0.7334599495
3,24,m,2,0.8125,4,yellow,purple,purple,2.054042816
3,24,m,2,0.8125,4,purple,yellow,yellow,1.61482501
3,24,m,2,0.8125,4,green,blue,blue,0.7714641094
3,24,m,2,0.8125,4,yellow,blue,blue,0.4772639275
3,24,m,2,0.8125,4,purple,red,red,1.975918055
3,24,m,2,0.8125,4,purple,blue,blue,1.374183893
3,24,m,2,0.8125,4,red,purple,purple,2.871089935
3,24,m,2,0.8125,4,red,yellow,yellow,1.65673399
3,24,m,2,0.8125,4,green,red,red,1.796511889
3,24,m,2,0.8125,4,blue,green,green,2.425046921
3,24,m,2,0.8125,4,yellow,red,red,1.995018005